,year,make,model,trim,mileage,AWD/FWD,price
470,2015,Ford,Edge,SEL,29660,AWD,23642
471,2015,Ford,Edge,Titanium,61144,AWD,22141
472,2015,Ford,Edge,SEL,29773,AWD,22499
473,2015,Ford,Edge,SEL,106143,AWD,12995
474,2015,Ford,Edge,Titanium,58037,AWD,21757
475,2015,Ford,Edge,Titanium,32580,AWD,24900
476,2015,Ford,Edge,Titanium,30958,AWD,24944
477,2015,Ford,Edge,SEL,15639,AWD,24900
478,2015,Ford,Edge,Titanium,23812,AWD,25883
479,2015,Ford,Edge,Titanium,31863,AWD,25100
480,2015,Ford,Edge,SE,71154,AWD,16995
481,2015,Ford,Edge,SE,22992,FWD,19999
482,2015,Ford,Edge,SEL,37511,AWD,21799
483,2015,Ford,Edge,SE,144875,AWD,11990
484,2015,Ford,Edge,SEL,37177,AWD,21988
485,2015,Ford,Edge,SE,76774,FWD,17000
486,2015,Ford,Edge,Titanium,39986,AWD,25000
487,2015,Ford,Edge,Titanium,38266,FWD,24977
488,2015,Ford,Edge,Titanium,93173,AWD,16199
489,2015,Ford,Edge,Titanium,61740,AWD,22988
490,2015,Ford,Edge,Sport,21002,AWD,27750
491,2015,Ford,Edge,SEL,31681,FWD,19900
492,2015,Ford,Edge,SEL,31529,AWD,20998
493,2015,Ford,Edge,SE,Miles,FWD,
494,2015,Ford,Edge,Sport,48169,FWD,24557
495,2015,Ford,Edge,SEL,29057,AWD,22661
496,2015,Ford,Edge,SEL,60718,AWD,20490
497,2015,Ford,Edge,SE,37189,AWD,18750
498,2015,Ford,Edge,SEL,22953,AWD,21800
499,2015,Ford,Edge,SEL,23385,AWD,23333
500,2015,Ford,Edge,SEL,30505,AWD,20995
501,2015,Ford,Edge,SEL,55998,AWD,18786
502,2015,Ford,Edge,SEL,63148,AWD,18750
503,2015,Ford,Edge,SEL,27749,FWD,18686
504,2015,Ford,Edge,Titanium,51925,AWD,23356
505,2015,Ford,Edge,SEL,49852,AWD,
