,0,1,2,3,4,5,6,7
383,2017,Ford,Edge,Titanium,FWD,23478,26888,
384,2017,Ford,Edge,Titanium,FWD,32100,24536,
385,2016,Ford,Edge,Titanium,FWD,42982,23981,
386,2016,Ford,Edge,SEL,AWD,30263,24795,
387,2016,Ford,Edge,Titanium,AWD,17761,28990,
388,2016,Ford,Edge,SEL,AWD,30674,24988,
389,2015,Ford,Edge,SEL,AWD,45102,23412,
390,2013,Ford,Edge,Limited,AWD,153586,12995,
391,2008,Ford,Edge,SE,FWD,175596,7300,
392,2015,Ford,Edge,Titanium,AWD,91213,19895,
393,2018,Ford,Edge,SE,FWD,10,29995,
394,2017,Ford,Edge,Titanium,FWD,37701,24990,
395,2009,Ford,Edge,SEL,AWD,160348,9488,
396,2018,Ford,Edge,SEL,FWD,7806,27950,
397,2015,Ford,Edge,SEL,AWD,45327,23490,
398,2018,Ford,Edge,Titanium,AWD,54976,24950,
399,2016,Ford,Edge,Sport,AWD,31470,28194,
400,2018,Ford,Edge,Titanium,FWD,39806,26249,
401,2016,Ford,Edge,SEL,AWD,75015,22000,
402,2015,Ford,Edge,Sport,AWD,64761,22795,
403,2017,Ford,Edge,SEL,FWD,14713,26780,
404,2007,Ford,Edge,SE,AWD,151186,7900,
405,2016,Ford,Edge,SEL,FWD,85024,19976,
406,2015,Ford,Edge,Sport,AWD,44356,25387,
407,2018,Ford,Edge,SEL,AWD,28724,27595,
408,2016,Ford,Edge,SEL,AWD,54011,22996,
409,2016,Ford,Edge,SE,FWD,99078,18900,
410,2018,Ford,Edge,Titanium,FWD,20567,26440,
411,2015,Ford,Edge,Titanium,AWD,99615,18789,
412,2014,Ford,Edge,Limited,AWD,111572,15997,
413,2016,Ford,Edge,SEL,AWD,75598,19995,
414,2016,Ford,Edge,SEL,AWD,33352,24565,
415,2016,Ford,Edge,Titanium,AWD,6625,29667,
416,2015,Ford,Edge,SEL,AWD,29913,23943,
417,2015,Ford,Edge,Sport,AWD,66121,22995,
418,2016,Ford,Edge,SEL,AWD,30535,24991,
419,2015,Ford,Edge,Titanium,FWD,61596,21078,
420,2018,Ford,Edge,Titanium,AWD,4712,31100,
421,2015,Ford,Edge,SEL,FWD,34827,22985,
422,2015,Ford,Edge,SEL,AWD,67068,20564,
423,2016,Ford,Edge,Titanium,AWD,6623,28990,
424,2018,Ford,Edge,Titanium,FWD,31581,25995,
425,2017,Ford,Edge,SEL,AWD,19083,26991,
426,2018,Ford,Edge,Titanium,FWD,23745,26981,
427,2016,Ford,Edge,Sport,AWD,33325,27491,
428,2017,Ford,Edge,SEL,AWD,37214,24995,
429,2016,Ford,Edge,SEL,FWD,34201,24990,
430,2015,Ford,Edge,SEL,AWD,27824,23990,
431,2018,Ford,Edge,Titanium,FWD,31014,26140,
432,2018,Ford,Edge,Titanium,AWD,17714,28118,
433,2018,Ford,Edge,Titanium,FWD,34371,24950,
434,2016,Ford,Edge,SEL,AWD,47449,22996,
435,2015,Ford,Edge,Sport,AWD,62226,22950,
436,2015,Ford,Edge,Sport,AWD,70931,21857,
437,2016,Ford,Edge,Titanium,AWD,24032,26990,
438,2018,Ford,Edge,Titanium,AWD,35554,26985,
439,2014,Ford,Edge,Sport,AWD,67258,21500,
440,2014,Ford,Edge,Limited,AWD,40499,21886,
441,2015,Ford,Edge,Sport,AWD,38011,24999,
442,2018,Ford,Edge,Titanium,FWD,35174,25134,
443,2016,Ford,Edge,Titanium,AWD,19326,27990,
444,2014,Ford,Edge,Sport,FWD,69569,19988,
445,2015,Ford,Edge,Titanium,AWD,23620,25990,
446,2016,Ford,Edge,Titanium,AWD,20872,27211,
447,2015,Ford,Edge,SEL,AWD,53206,21495,
448,2015,Ford,Edge,Sport,FWD,18135,26477,
